Product Code,Cat 1,Cat 2,Cat 3,Item,Sub Category,Range/Brand,Length cm (approx),Height cm (approx),Width cm (approx),Depth cm (approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Image name 4 (same as sku),Cost Price (ex VAT,Mark up %,Selling Price (ex VAT),Returns & Delivery
,Bedroom,,,Wardrobe 2 door/1 drawer,Wardrobes,Alicia,,178,80,53,,Lacquered MDF,Matt white lacquer with oak effect detailing,Ella 2 Door Wardrobe,"Indulge in some mid-century style with this exquisite two door, one drawer wardrobe, for a clean yet distingtive interior look. Influenced by the 1950s and 60s aesthetic, it will bring a timelessly retro feel to the bedroom. Appealingly simple, the wardrobe's angular face and tapered legs make it's profile an elegant and understated choice, and a wonderfully versatile foundation for a whole hoast of decorative accessories. Comes with one year warranty. ","Ella,wardrobe",Alicia 2 door robe,Alicia Room set,,,£209.95,75%,£367.41,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Bedside 2  drawer,Bedside Tables,Alicia,,47,45,35,,Lacquered MDF,Matt white lacquer with oak effect detailing,Ella 2 Drawer Bedside,"Indulge in some mid-century style with this exquisite two drawer bedside cabinet, for a clean yet distingtive interior look. Influenced by the 1950s and 60s aesthetic, it will bring a timelessly retro feel to the bedroom. Appealingly simple, the cabinet's angular face and tapered legs make it's profile an elegant and understated choice, and a wonderfully versatile foundation for a whole hoast of decorative accessories. Comes with one year warranty.","Ella,bedside",Alicia 2 drawer bedside ,Alicia Room set,,,£44.95,75%,£78.66,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of 3 drawers,Chests of Drawers,Alicia,,89,80,40,,Lacquered MDF,Matt white lacquer with oak effect detailing,Ella 3 Drawer Chest,"Indulge in some mid-century style with this exquisite three drawer chest, for a clean yet distingtive interior look. Influenced by the 1950s and 60s aesthetic, it will bring a timelessly retro feel to the bedroom. Appealingly simple, the chest's angular face and tapered legs make it's profile an elegant and understated choice, and a wonderfully versatile foundation for a whole hoast of decorative accessories. Comes with one year warranty.","Ella,chest",Alicia 3 drawer chest,Alicia Room set,,,£99.95,75%,£174.91,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of 5 drawers,Chests of Drawers,Alicia,,118,90,40,,Lacquered MDF,Matt white lacquer with oak effect detailing,Ella 5 Drawer Chest,"Indulge in some mid-century style with this exquisite five drawer chest, for a clean yet distingtive interior look. Influenced by the 1950s and 60s aesthetic, it will bring a timelessly retro feel to the bedroom. Appealingly simple, the chest's angular face and tapered legs make it's profile an elegant and understated choice, and a wonderfully versatile foundation for a whole hoast of decorative accessories. Comes with one year warranty.","Ella,chest",Alicia 5 drawer chest,Alicia Room set,,,£129.95,75%,£227.41,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of 6 drawers,Chests of Drawers,Alicia,,78,130,45,,Lacquered MDF,Matt white lacquer with oak effect detailing,Ella 6 Drawer Chest,"Indulge in some mid-century style with this exquisite six drawer chest, for a clean yet distingtive interior look. Influenced by the 1950s and 60s aesthetic, it will bring a timelessly retro feel to the bedroom. Appealingly simple, the chest's angular face and tapered legs make it's profile an elegant and understated choice, and a wonderfully versatile foundation for a whole hoast of decorative accessories. Comes with one year warranty.","Ella,chest",Alicia 6 drawer chest,Alicia Room set,,,£139.95,75%,£244.91,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,"High Bed 4'6"" Frame only",Bed Frames,Sorrento,206,132,146,,,Linen finish,Slate Grey,Sophie High Headboard Bed,"Let this impressive, fabric covered double bed take centre stage of your bedroom. Featuring a high headboard with beautiful button detailing, this piece will bring a touch of drama to any interior. It's sprung slatted base also offers heightened comfort when paired with a quality mattress, for a great night's sleep. Comes with one year warranty.","slatted base,headboard,double bed",Sorrento High Headboard Bed,Alicia Room set,,,£131.95,75%,£230.91,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,High Bed 5' frame only,Bed Frames,Sorrento,214,132,162,,,Linen finish,Slate Grey,Sophie High Headboard Bed,"Let this impressive, fabric covered king size bed take centre stage of your bedroom. Featuring a high headboard with beautiful button detailing, this piece will bring a touch of drama to any interior. It's sprung slatted base also offers heightened comfort when paired with a quality mattress, for a great night's sleep. Comes with one year warranty.","slatted base,headboard,king size bed",Sorrento High Headboard Bed,Alicia Room set,,,£142.95,75%,£250.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Wardrobe 2 door,Wardrobes,Manhattan,,197,74,53,,High Gloss,White ,Mia 2 Door Robe,"The Mia two door wardrobe offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,wardrobe,gloss",Manhattan 2 door robe,Manhattan Room Set,,,£157.25,75%,£275.19,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Bedside 2  drawer,Bedside Tables,Manhattan,,43,45,35,,High Gloss,White ,Mia 2 Drawer Bedside,"The Mia two drawer bedside unit offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,bedside,gloss",Manhattan 2 drw bedside,Manhattan Room Set,,,£36.25,75%,£63.44,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of  3 drawers,Chests of Drawers,Manhattan,,80,80,40,,High Gloss,White ,Mia 3 Drawer Chest,"The Mia three drawer chest offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,chest,gloss",Manhattan 3 drw chest,Manhattan Room Set,,,£71.45,75%,£125.04,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
